CycID	BH.Q	ADJ.P	PER	LAG	AMP
BraR500.01G029300.v2.1	0.00140967766636216	1.998001998002e-05	20	8	43.6744503399871
BraR500.01G029400.v2.1	0.00573959618700087	0.000225488796917368	24	10	11.8440385848747
BraR500.01G029500.v2.1	1	1	0	0	0
BraR500.01G029600.v2.1	1	1	0	0	0
BraR500.01G029700.v2.1	0.0239812809044774	0.00200485229056658	24	22	1.27632774004172
BraR500.01G029800.v2.1	1	1	24	0	0.0212132034355964
BraR500.01G029900.v2.1	0.446545501388833	0.14889738832596	20	8	0.102530483272049
BraR500.01G030000.v2.1	1	1	0	0	0
BraR500.01G030100.v2.1	0.00844718256492729	0.000440702154987869	20	8	14.5699352263488
BraR500.01G030200.v2.1	1	1	20	6	3.22440692221066
BraR500.01G030300.v2.1	1	0.53791094619666	20	6	0.426031835664895
BraR500.01G030400.v2.1	0.0256589619340239	0.00253860425288997	20	6	10.2636549289227
BraR500.01G030500.v2.1	0.00241089360834132	4.90937633794777e-05	20	18	29.96364985278
BraR500.01G030600.v2.1	0.714662504410882	0.271467389753104	24	0	3.08298556597335
BraR500.01G030700.v2.1	0.446545501388833	0.14889738832596	20	16	1.38592929112563
BraR500.01G030800.v2.1	1	0.774095618667047	24	22	0.360624458405139
BraR500.01G030900.v2.1	1	1	0	0	0
BraR500.01G031000.v2.1	0.409472820007211	0.128404452690167	20	6	2.42714402642283
BraR500.01G031100.v2.1	1	0.606307977736549	20	6	2.00111219075793
BraR500.01G031200.v2.1	1	1	20	6	0.76897862454037
BraR500.01G031300.v2.1	1	1	20	0	1.24450793488832
BraR500.01G031400.v2.1	0.0664255955324732	0.0108480091337234	20	6	5.31037192671097
BraR500.01G031500.v2.1	1	1	24	22	3.09889546855005
BraR500.01G031600.v2.1	1	1	0	0	0
BraR500.01G031700.v2.1	1	0.774095618667047	20	10	2.96808071403053
BraR500.01G031800.v2.1	1	1	20	16	3.51432070249715
BraR500.01G031900.v2.1	0.2705898403163	0.0770115598687027	20	4	0.205060966544099
BraR500.01G032000.v2.1	1	1	0	0	0
BraR500.01G032100.v2.1	1	1	0	0	0
BraR500.01G032200.v2.1	0.000203559632131061	5.70857713714857e-07	24	10	12.9170731253253
BraR500.01G032300.v2.1	0.0491869875725391	0.00687084344227201	24	12	84.9023112170688
BraR500.01G032400.v2.1	0.00241089360834132	4.90937633794777e-05	24	22	0.539168920654743
BraR500.01G032500.v2.1	0.0491869875725391	0.00687084344227201	20	6	8.09283711068004
BraR500.01G032600.v2.1	0.349586328083908	0.107911517054374	20	6	2.29456150495035
BraR500.01G032700.v2.1	1	1	24	12	1.33643181644257
BraR500.01G032800.v2.1	0.0180048305789096	0.00147110032824319	24	10	5.43411561341862
BraR500.01G032900.v2.1	0.119113640015777	0.0252244897959184	20	6	0.590434162290767
BraR500.01G033000.v2.1	0.890596684037496	0.359244755244755	24	2	1.57861588899897
BraR500.01G033100.v2.1	1	1	0	0	0
BraR500.01G033200.v2.1	0.0491869875725391	0.00687084344227201	20	6	4.52194786568797
BraR500.01G033300.v2.1	1	1	24	6	0.0388908729652601
BraR500.01G033400.v2.1	0.157495384477682	0.0372798629941487	20	18	3.74589817333573
BraR500.01G033500.v2.1	0.00381945964559081	0.000108462965605823	20	18	40.2449824512324
BraR500.01G033600.v2.1	1	1	0	0	0
BraR500.01G033700.v2.1	0.2705898403163	0.0770115598687027	20	4	1.99050558904013
BraR500.01G033800.v2.1	1	0.469513914656772	20	16	4.10475486478791
BraR500.01G033900.v2.1	1	1	0	0	0
BraR500.01G034000.v2.1	0.714662504410882	0.271467389753104	24	2	50.8179965969242
BraR500.01G034100.v2.1	1	1	0	0	0
BraR500.01G034200.v2.1	1	1	0	0	0
BraR500.01G034300.v2.1	0.0358085827030722	0.00423576423576424	20	6	18.2822458275782
BraR500.01G034400.v2.1	0.189981633400084	0.0456654773797631	20	14	0.120208152801713
BraR500.01G034500.v2.1	0.207930436696025	0.0540510917653775	20	14	0.767210857587404
BraR500.01G034600.v2.1	1	1	20	16	0.668215908221288
BraR500.01G034700.v2.1	0.119113640015777	0.0252244897959184	20	16	0.629325035256027
BraR500.01G034800.v2.1	0.0491869875725391	0.00687084344227201	20	14	2.70998673889744
BraR500.01G034900.v2.1	0.890596684037496	0.359244755244755	20	16	0.55507882323144
BraR500.01G035000.v2.1	0.157495384477682	0.0372798629941487	24	10	9.63786542757264
BraR500.01G035100.v2.1	0.00241089360834132	4.90937633794777e-05	24	10	18.3617953404617
BraR500.01G035200.v2.1	0.157495384477682	0.0372798629941487	20	6	49.6141473019541
BraR500.01G035300.v2.1	1	1	20	16	0.0494974746830583
BraR500.01G035400.v2.1	1	1	20	16	2.0081832585698
BraR500.01G035500.v2.1	0.0180048305789096	0.00147110032824319	24	2	6.1659711319467
BraR500.01G035600.v2.1	0.00241089360834132	4.90937633794777e-05	20	8	2.28041936932662
BraR500.01G035700.v2.1	0.157495384477682	0.0372798629941487	20	6	31.9629942765849
BraR500.01G035800.v2.1	1	1	24	10	0.132582521472478
BraR500.01G035900.v2.1	0.2705898403163	0.0770115598687027	20	4	0.337643488016576
BraR500.01G036000.v2.1	1	1	24	0	0.307591449816148
BraR500.01G036100.v2.1	0.00573959618700087	0.000225488796917368	20	10	73.9156396043828
BraR500.01G036200.v2.1	0.00381945964559081	0.000108462965605823	20	6	86.2740983725707
BraR500.01G036300.v2.1	0.2705898403163	0.0770115598687027	24	12	2.14076578004227
